wave(um) flux(mJy) ABmag
0.4164 0.000000e+00 inf
0.4170 0.000000e+00 inf
0.4176 0.000000e+00 inf
0.4183 0.000000e+00 inf
0.4189 0.000000e+00 inf
0.4195 0.000000e+00 inf
0.4201 0.000000e+00 inf
0.4208 0.000000e+00 inf
0.4214 0.000000e+00 inf
0.4220 0.000000e+00 inf
0.4227 0.000000e+00 inf
0.4233 0.000000e+00 inf
0.4239 0.000000e+00 inf
0.4245 0.000000e+00 inf
0.4252 0.000000e+00 inf
0.4258 0.000000e+00 inf
0.4264 0.000000e+00 inf
0.4271 0.000000e+00 inf
0.4277 0.000000e+00 inf
0.4283 0.000000e+00 inf
0.4290 0.000000e+00 inf
0.4296 0.000000e+00 inf
0.4302 0.000000e+00 inf
0.4309 0.000000e+00 inf
0.4315 0.000000e+00 inf
0.4321 0.000000e+00 inf
0.4327 0.000000e+00 inf
0.4334 0.000000e+00 inf
0.4340 0.000000e+00 inf
0.4346 0.000000e+00 inf
0.4353 0.000000e+00 inf
0.4359 0.000000e+00 inf
0.4365 0.000000e+00 inf
0.4371 0.000000e+00 inf
0.4378 0.000000e+00 inf
0.4384 0.000000e+00 inf
0.4390 0.000000e+00 inf
0.4397 0.000000e+00 inf
0.4403 0.000000e+00 inf
0.4409 0.000000e+00 inf
0.4416 0.000000e+00 inf
0.4422 0.000000e+00 inf
0.4428 0.000000e+00 inf
0.4435 0.000000e+00 inf
0.4441 0.000000e+00 inf
0.4447 0.000000e+00 inf
0.4453 0.000000e+00 inf
0.4460 0.000000e+00 inf
0.4466 0.000000e+00 inf
0.4472 0.000000e+00 inf
0.4479 0.000000e+00 inf
0.4485 0.000000e+00 inf
0.4491 0.000000e+00 inf
0.4497 0.000000e+00 inf
0.4504 0.000000e+00 inf
0.4510 0.000000e+00 inf
0.4516 0.000000e+00 inf
0.4523 0.000000e+00 inf
0.4529 0.000000e+00 inf
0.4535 0.000000e+00 inf
0.4542 0.000000e+00 inf
0.4548 0.000000e+00 inf
0.4554 0.000000e+00 inf
0.4561 0.000000e+00 inf
0.4567 0.000000e+00 inf
0.4573 0.000000e+00 inf
0.4579 0.000000e+00 inf
0.4586 0.000000e+00 inf
0.4592 0.000000e+00 inf
0.4598 0.000000e+00 inf
0.4605 0.000000e+00 inf
0.4611 0.000000e+00 inf
0.4617 0.000000e+00 inf
0.4623 0.000000e+00 inf
0.4630 0.000000e+00 inf
0.4636 0.000000e+00 inf
0.4642 0.000000e+00 inf
0.4649 0.000000e+00 inf
0.4655 0.000000e+00 inf
0.4661 0.000000e+00 inf
0.4668 0.000000e+00 inf
0.4674 0.000000e+00 inf
0.4680 0.000000e+00 inf
0.4687 0.000000e+00 inf
0.4693 0.000000e+00 inf
0.4699 0.000000e+00 inf
0.4705 0.000000e+00 inf
0.4712 0.000000e+00 inf
0.4718 0.000000e+00 inf
0.4724 0.000000e+00 inf
0.4731 0.000000e+00 inf
0.4737 0.000000e+00 inf
0.4743 0.000000e+00 inf
0.4749 0.000000e+00 inf
0.4756 0.000000e+00 inf
0.4762 0.000000e+00 inf
0.4768 0.000000e+00 inf
0.4775 0.000000e+00 inf
0.4781 0.000000e+00 inf
0.4787 0.000000e+00 inf
0.4794 0.000000e+00 inf
0.4800 0.000000e+00 inf
0.4806 0.000000e+00 inf
0.4813 0.000000e+00 inf
0.4819 0.000000e+00 inf
0.4825 0.000000e+00 inf
0.4831 0.000000e+00 inf
0.4838 0.000000e+00 inf
0.4844 0.000000e+00 inf
0.4850 0.000000e+00 inf
0.4857 0.000000e+00 inf
0.4863 0.000000e+00 inf
0.4869 0.000000e+00 inf
0.4875 0.000000e+00 inf
0.4882 0.000000e+00 inf
0.4888 0.000000e+00 inf
0.4894 0.000000e+00 inf
0.4901 0.000000e+00 inf
0.4907 0.000000e+00 inf
0.4913 0.000000e+00 inf
0.4920 0.000000e+00 inf
0.4926 0.000000e+00 inf
0.4932 0.000000e+00 inf
0.4939 0.000000e+00 inf
0.4945 0.000000e+00 inf
0.4951 0.000000e+00 inf
0.4957 0.000000e+00 inf
0.4964 0.000000e+00 inf
0.4970 0.000000e+00 inf
0.4976 0.000000e+00 inf
0.4983 0.000000e+00 inf
0.4989 0.000000e+00 inf
0.4995 0.000000e+00 inf
0.5001 0.000000e+00 inf
0.5008 0.000000e+00 inf
0.5014 0.000000e+00 inf
0.5020 0.000000e+00 inf
0.5027 0.000000e+00 inf
0.5033 0.000000e+00 inf
0.5039 0.000000e+00 inf
0.5046 0.000000e+00 inf
0.5052 0.000000e+00 inf
0.5058 0.000000e+00 inf
0.5064 0.000000e+00 inf
0.5071 0.000000e+00 inf
0.5077 0.000000e+00 inf
0.5083 0.000000e+00 inf
0.5090 0.000000e+00 inf
0.5096 0.000000e+00 inf
0.5102 0.000000e+00 inf
0.5109 0.000000e+00 inf
0.5115 0.000000e+00 inf
0.5121 0.000000e+00 inf
0.5128 0.000000e+00 inf
0.5134 0.000000e+00 inf
0.5140 0.000000e+00 inf
0.5146 0.000000e+00 inf
0.5153 0.000000e+00 inf
0.5159 0.000000e+00 inf
0.5165 0.000000e+00 inf
0.5172 0.000000e+00 inf
0.5178 0.000000e+00 inf
0.5184 0.000000e+00 inf
0.5191 0.000000e+00 inf
0.5197 0.000000e+00 inf
0.5203 0.000000e+00 inf
0.5209 0.000000e+00 inf
0.5216 0.000000e+00 inf
0.5222 0.000000e+00 inf
0.5228 0.000000e+00 inf
0.5235 0.000000e+00 inf
0.5241 0.000000e+00 inf
0.5247 0.000000e+00 inf
0.5253 0.000000e+00 inf
0.5260 0.000000e+00 inf
0.5266 0.000000e+00 inf
0.5272 0.000000e+00 inf
0.5279 0.000000e+00 inf
0.5285 0.000000e+00 inf
0.5291 0.000000e+00 inf
0.5298 0.000000e+00 inf
0.5304 0.000000e+00 inf
0.5310 0.000000e+00 inf
0.5316 0.000000e+00 inf
0.5323 0.000000e+00 inf
0.5329 0.000000e+00 inf
0.5335 0.000000e+00 inf
0.5342 0.000000e+00 inf
0.5348 0.000000e+00 inf
0.5354 0.000000e+00 inf
0.5361 0.000000e+00 inf
